,Actual pupil (z),Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
0,-2.992682867082509,2.7702364827499557,2.8510982910422,1.136919252238445
1,-2.2287368277240565,2.7702364827499557,2.8510982910422,1.136919252238445
2,-1.5535262302214494,2.7702364827499557,2.8510982910422,1.136919252238445
3,-0.9672142816614672,2.7702364827499557,2.8510982910422,1.136919252238445
4,-0.4699639648220831,2.7702364827499557,2.8510982910422,1.136919252238445
5,-0.06193826248127107,2.7702364827499557,2.8510982910422,1.136919252238445
6,0.25669934910362346,2.77023513060651,2.851098291042195,1.1369160627817703
7,0.4857859320163888,2.77019323604644,2.8510982598506938,1.1368173003015172
8,0.6251584137555283,2.7698120786510954,2.8510538353444415,1.1360023226536653
9,0.6746534975107417,2.7664350558228157,2.8488470640886856,1.1322142986752537
10,0.5020483204048892,2.7433312552773277,2.8264605983220066,1.120097639802237
11,0.16109893625977714,2.648233507797796,2.7234570548654573,1.0907807843687907
12,-0.22695529701064643,2.389776397974915,2.431774580801505,1.033326898117466
13,-0.5656615931021722,1.9078146253199346,1.8820137366426264,0.937247880412427
14,-0.8011858387287298,1.27824728743372,1.1727955432512671,0.7948712901822299
15,-1.0008206754979074,0.6829961310492491,0.5323172529434814,0.6033052802277606
16,-1.081571845427013,0.26110416323106644,0.13217853054807752,0.3656627035958037
17,-1.151107575088187,0.02160905889895647,-0.02118699341048198,0.09108193812142143
18,-1.1959693361599122,-0.11664293201677138,-0.036159115232961093,-0.20668450317790965
19,-1.2004555122670848,-0.2341468228991089,-0.02153538573939593,-0.5115393970796677
20,-1.1959693361599122,-0.36605268343865116,-0.02969947432872534,-0.8072251175957239
21,-1.2004555122670848,-0.508780625463116,-0.06402401578010561,-1.078912465751725
22,-1.1735384556240496,-0.6428651627314309,-0.1067660330848683,-1.3142760730001775
23,-1.1712953675704634,-0.7472586109624139,-0.13653648128896043,-1.5041610117134085
24,-1.133162870659497,-0.8096847156608146,-0.14103286323123015,-1.642900338394524
25,-1.1062458140164617,-0.832941164094377,-0.1249080679165828,-1.7282846633515538
26,-1.065870229051909,-0.8259849626848232,-0.0988396792343816,-1.7612276415774228
