,parameterName,value
0,r,0.5914794345833873
1,rmse,0.9039032751535009
2,rf_lum_param1,29.111771866997035
3,rf_lum_param2,0.2562071486733273
4,rf_contrast_param1,5.3072702165727765
5,rf_contrast_param2,0.6270589617241946
6,amplitudeWeightContrast,0.5282201332576354
7,weight1,0.029892206086717808
8,weight2,0.02698070040280768
9,weight3,-0.007464606792017994
10,weight4,0.016654268927224828
11,weight5,0.02627218977675521
12,weight6,0.029489772483032063
13,weight7,0.022178944708231344
14,weight8,0.03123964123623981
15,weight9,0.03015658751457355
16,weight10,0.011395313454426608
17,weight11,0.019853048029743723
18,weight12,0.021898588827470988
19,weight13,0.027604722411926366
20,weight14,0.019352435332682175
21,weight15,0.014429137513324504
22,weight16,0.04284871361484055
23,weight17,0.008449684544813133
24,weight18,-0.011294610171374644
25,weight19,0.004060880502540519
26,weight20,0.030148265739026986
27,weight21,0.025656172339366647
28,weight22,0.03236184177066245
29,weight23,-0.007129645468311701
30,weight24,0.009825808884971348
31,weight25,0.033135118742739174
32,weight26,0.02630996983122056
33,weight27,0.024045350831541877
34,weight28,0.012736568019226116
35,weight29,-0.0025440031665802804
36,weight30,0.006402227314052682
37,weight31,-0.007477176402891637
38,weight32,-0.03687612106017188
39,weight33,-0.002905489038382102
40,weight34,0.0255564854927424
41,weight35,0.006155183525568373
42,weight36,0.006557107640941849
43,weight37,0.031099952980346145
44,weight38,0.029658405865130192
45,weight39,0.0006679376691822213
46,weight40,-0.008321468152946125
47,weight41,0.03222257432090377
48,weight42,0.0307428958406202
49,weight43,0.009444954994792308
50,weight44,0.0025221745929631754
