,parameterName,value
0,r,0.6444358937214623
1,rmse,0.8432841825607045
2,rf_lum_param1,29.111771866997035
3,rf_lum_param2,0.2562071486733273
4,rf_contrast_param1,5.3072702165727765
5,rf_contrast_param2,0.6270589617241946
6,amplitudeWeightContrast,0.5282201332576354
7,weight1,0.38899134446508044
8,weight2,1.999017205875417
9,weight3,0.17279212503808267
10,weight4,0.9348092049316152
11,weight5,0.9035075929876426
12,weight6,1.4460510951530552
13,weight7,1.8490936999847807
14,weight8,0.039592004433794584
15,weight9,0.6533465486395371
16,weight10,0.469276889898931
17,weight11,0.6654250548937792
18,weight12,0.9290024800066126
19,weight13,1.2422516836734103
20,weight14,0.45562123972162705
21,weight15,0.5229970581655464
22,weight16,1.978932610121906
23,weight17,0.1072498383666472
24,weight18,0.003298278675418544
25,weight19,0.9415976622509854
26,weight20,0.3792476170465443
27,weight21,1.1120422609693998
28,weight22,1.414924298016628
29,weight23,0.04411905761714003
30,weight24,1.1513816858958688
31,weight25,0.06687478822063164
32,weight26,1.9707585540426666
33,weight27,1.924615805052245
34,weight28,0.7253265400284751
35,weight29,1.3219304255862054
36,weight30,1.9935713901459489
37,weight31,1.9070787918064742
38,weight32,0.16294577580439584
39,weight33,0.02450166261440033
40,weight34,0.7764315263134023
41,weight35,1.138136358493555
42,weight36,1.6815235474436687
43,weight37,0.6488542166470158
44,weight38,0.016228311873625625
45,weight39,0.0245313202542434
46,weight40,0.0014381853598155955
47,weight41,0.17165709158747083
48,weight42,1.2891002689631534
49,weight43,0.1090614752301765
50,weight44,1.7403621751269156
