,Actual pupil (z),Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
0,-2.992682867082509,3.075517181000783,3.3303309970091637,1.1753835448686845
1,-2.2287368277240565,3.075517181000783,3.3303309970091637,1.1753835448686845
2,-1.5535262302214494,3.075517181000783,3.3303309970091637,1.1753835448686845
3,-0.9672142816614672,3.075517181000783,3.3303309970091637,1.1753835448686845
4,-0.4699639648220831,3.075517181000783,3.3303309970091637,1.1753835448686845
5,-0.06193826248127107,3.075517181000783,3.3303309970091637,1.1753835448686845
6,0.25669934910362346,3.0755141754159956,3.330330997009139,1.1753775266242203
7,0.4857859320163888,3.0754206486957765,3.3303308450618934,1.175190620580207
8,0.6251584137555283,3.0744796775359458,3.3301145012021,1.1736433692107253
9,0.6746534975107417,3.062747920875721,3.3194600406548633,1.166571029767312
10,0.5020483204048892,2.971683652122394,3.215363904584983,1.1444309651372069
11,0.16109893625977714,2.604795342140645,2.7722114559815694,1.0916740068115738
12,-0.22695529701064643,1.710298325981706,1.6750743535582473,0.9890078736294687
13,-0.5656615931021722,0.37593975586691253,0.04803010347370038,0.817758809189589
14,-0.8011858387287298,-0.7383094572079234,-1.2483641716474694,0.5651701765852193
15,-1.0008206754979074,-1.1016463973150568,-1.5225727574792112,0.2285036145840167
16,-1.081571845427013,-0.9501735643023762,-1.0774109345964724,-0.183502635262784
17,-1.151107575088187,-0.7786080998028885,-0.5610387524906355,-0.6517795228347505
18,-1.1959693361599122,-0.7706000188006982,-0.2309312907111629,-1.1502260651394869
19,-1.2004555122670848,-0.8903414460534111,-0.06360454237254856,-1.6500094267363776
20,-1.1959693361599122,-1.0796675509945666,-0.00388743372251115,-2.1234205594367164
21,-1.2004555122670848,-1.2916897651753412,-0.0071670784720835766,-2.5465118661500465
22,-1.1735384556240496,-1.4849744258605493,-0.0315745378113487,-2.9006594015568603
23,-1.1712953675704634,-1.6294202925520844,-0.04502642793416505,-3.1732942228950414
24,-1.133162870659497,-1.7131420457424844,-0.035133551418316124,-3.3579829555682714
25,-1.1062458140164617,-1.7405507667089077,-0.00835839326829648,-3.453974236350037
26,-1.065870229051909,-1.7215379055713973,0.024263450048747925,-3.4653398617830966
27,-1.0254946440873562,-1.6635078850783058,0.057656838194445614,-3.399913573539327
28,-0.9626881785869409,-1.5736746064717404,0.08886415942537282,-3.2681622921376325
29,-0.8931524489257667,-1.4593979243500985,0.11596448053725421,-3.082084143640883
30,-0.7922134865143848,-1.3242363871965819,0.1427410119029548,-2.854213308173564
31,-0.7024899643709343,-1.1717154200431192,0.17287440476764077,-2.596800358039698
32,-0.59706482585238,-1.0083027983544282,0.2053750153513489,-2.3211800581561617
33,-0.5163136559232744,-0.840423223110056,0.23834009974316475,-2.037321037304596
34,-0.40415925324396124,-0.6735244463077295,0.2701426452702518,-1.7535708011312972
35,-0.3099495549933382,-0.5136523728344405,0.29720251380738405,-1.4765752003460761
36,-0.2426569133857503,-0.3649607206701232,0.31728396803830167,-1.2113628039567788
37,-0.12377324654567831,-0.22884081742710208,0.33124841224522655,-0.9620486605543788
38,-0.06545295715243546,-0.10700666208891381,0.34013377460645866,-0.7335441326450403
