,pupil,movie,l1,l2,l3,subject,condition,effort,luminance,pupil_pred_mixed,pupil_pred_pp,pupil_pred_mov
0,2.557121184998833,1-2,55.41833750372942,48.64522413686117,141.25915477096194,s1,1back,1,55.41833750372942,2.8401348359335152,2.710796765049926,4.0824807185973
1,2.9829413008997783,1-3,36.828353537551436,39.6695070350647,108.07875929327417,s1,0back,0,36.828353537551436,3.1691825917585383,2.710796765049926,4.609761548861282
2,2.567776970255795,2-1,74.01818114056069,53.20677639770508,139.8051980036651,s1,2back,2,74.01818114056069,2.5109125612650365,2.710796765049926,3.9491905227873
3,2.9748502527529923,2-2,64.57727469534466,51.065085013071695,133.38560964628346,s1,0back,0,64.57727469534466,2.6780191647136578,2.710796765049926,3.979204920420492
4,2.6448536941941216,3-1,50.6300187818287,44.845075542958575,124.98794760054977,s1,1back,1,50.6300187818287,2.924889375393202,2.710796765049926,4.223932872369904
5,2.5372371871980355,3-2,68.74304729456018,51.68995800425212,147.39625203742287,s1,2back,2,68.74304729456018,2.6042838603937017,2.710796765049926,3.952533694160394
6,3.454848276952317,1-2,55.41833750372942,48.64522413686117,141.25915477096194,s10,2back,2,55.41833750372942,3.5988423254080795,3.512908874474329,4.0824807185973
7,4.4560170605033615,1-3,36.828353537551436,39.6695070350647,108.07875929327417,s10,2back,2,36.828353537551436,3.9278900812331026,3.512908874474329,4.609761548861282
8,3.372569752485597,2-1,74.01818114056069,53.20677639770508,139.8051980036651,s10,1back,1,74.01818114056069,3.2696200507396007,3.512908874474329,3.9491905227873
9,3.482768335291044,2-2,64.57727469534466,51.065085013071695,133.38560964628346,s10,0back,0,64.57727469534466,3.436726654188222,3.512908874474329,3.979204920420492
10,3.2785475755829876,3-1,50.6300187818287,44.845075542958575,124.98794760054977,s10,1back,1,50.6300187818287,3.6835968648677664,3.512908874474329,4.223932872369904
11,3.0327022460306656,3-2,68.74304729456018,51.68995800425212,147.39625203742287,s10,0back,0,68.74304729456018,3.362991349868266,3.512908874474329,3.952533694160394
