subject,movie,pupil_pred_mixed
s30,1-2,4.903363594855746
s30,1-3,5.232411350680769
s30,2-1,4.574141320187268
s30,2-2,4.741247923635889
s30,3-1,4.9881181343154335
s30,3-2,4.667512619315932
s31,1-2,4.935808203176315
s31,1-3,5.264855959001338
s31,2-1,4.606585928507836
s31,2-2,4.773692531956457
s31,3-1,5.0205627426360016
s31,3-2,4.699957227636501
