,timeStamps,Actual pupil (z),Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
0,0.0,-0.7942661552008049,3.256390184971144,4.861469787536045,1.470460878151397
1,0.04,-0.7392047917660146,3.256390184971144,4.861469787536045,1.470460878151397
2,0.08,-0.5690151229675716,3.256390184971144,4.861469787536045,1.470460878151397
3,0.12,-0.3237417767580508,3.256390184971144,4.861469787536045,1.470460878151397
4,0.16,-0.09348516603074566,3.256390184971144,4.861469787536045,1.470460878151397
5,0.2,0.2669164855424277,3.254731063656748,4.861469787535008,1.468960389254587
6,0.24,0.627318137115601,3.2226983934369877,4.861469782661226,1.4399897459827984
7,0.28,0.8175301198903314,3.0955364941507026,4.861469267380939,1.3249710893876214
8,0.32,0.9727030532065588,2.8310208050379915,4.861457749617816,1.0856608338765084
9,0.36,0.8525691693488343,2.4412512994908746,4.86134786143059,0.7329165465852385
10,0.4,0.6823795005503914,1.9806448165464985,4.860735948181235,0.31595498670071476
11,0.44,0.28193322102464324,1.517907353024375,4.858385851159961,-0.10279970239394548
12,0.48,-0.04342938109002714,1.1125093676557636,4.851508400195819,-0.4687354883733126
13,0.52,-0.2686804133232605,0.8023255309352343,4.835153719555911,-0.7459908361936435
14,0.56,-0.6340876433905057,0.6007813119101652,4.8021324852931775,-0.9199938954473733
15,0.6,-0.8042773121889486,0.5007700270346322,4.743725187355108,-0.994192646063424
16,0.64,-0.8192940476711642,0.4824462514438033,4.6511103276535914,-0.98355549109025
17,0.68,-0.8343107831533797,0.5213798165869715,4.5171342008207285,-0.9078422158850533
18,0.72,-0.8843665680940983,0.5940553297712411,4.337909532749155,-0.7871381946637875
19,0.76,-1.0695729723747567,0.6766807489520766,4.113804727686726,-0.6432247268917822
20,0.8,-1.0395395014103257,0.738647921475143,3.8496025849606825,-0.5056317319332877
21,0.84,-1.0845897078569724,0.7453019099788855,3.5538577889573504,-0.409081385123436
22,0.88,-0.9844781379755353,0.6746674449268096,3.237673964541319,-0.3778194055246387
23,0.92,-0.894377725082242,0.5306730041110509,2.913207644248031,-0.4126296834586088
24,0.96,-0.759227105742302,0.33612377120061426,2.592193246424934,-0.4965152655563151
25,1.0,-0.6040541724260745,0.1156944497536512,2.2847122818885905,-0.6098966542801376
26,1.04,-0.2987138842876916,-0.10991957104136127,1.9983466769320142,-0.7357567447543628
27,1.08,-0.023407067113739737,-0.32043141213221693,1.737777683879187,-0.8563401187426704
28,1.12,0.24689417156614027,-0.4965671830082857,1.5048134815929262,-0.9539539439762892
29,1.16,0.5272065672341639,-0.624229332232149,1.2987561000955343,-1.0151256111749147
30,1.2,0.6423348725978165,-0.6970365037846364,1.1169775484179034,-1.0331335639556014
31,1.24,0.8275412768784751,-0.7161221295107105,0.9555815049460491,-1.0078584094130167
32,1.28,0.9026249542895529,-0.6887249965720715,0.8100640004947056,-0.944495553223079
33,1.32,0.8525691693488343,-0.6261318456144757,0.6759222400265534,-0.8517557480245509
34,1.36,0.6573516080800321,-0.5416511037834919,0.5491766216956682,-0.740206271583422
35,1.4,0.4521228898230862,-0.4489987740582172,0.4267713441825985,-0.6210423433962724
36,1.44,0.23688301457799657,-0.3604470081582723,0.306819433807064,-0.50462516341233
37,1.48,-0.028412645607811586,-0.2844223760790263,0.1886701679083301,-0.3984092594534314
38,1.52,-0.21862462838254196,-0.2240403232851076,0.0728011188892537,-0.305491144370848
39,1.56,-0.3788031401928412,-0.17789096583609348,-0.039434229812007504,-0.22511622910392917
40,1.6,-0.47891471007427827,-0.14219981434004622,-0.1461485974267951,-0.15452083675030154
41,1.64,-0.4488812391098472,-0.11267337684626386,-0.24528688107501526,-0.0905648853802168
42,1.68,-0.4739091315802064,-0.08807581653865505,-0.33495482899322937,-0.03305947067405244
43,1.72,-0.3938198756750568,-0.07457283197856564,-0.41366702544811335,0.011147011841975621
44,1.76,-0.2511208439660574,-0.08151952750502027,-0.4804941958161219,0.03220879971703615
45,1.8,-0.17039087401366576,-0.1116809312374548,-0.5351115548868312,0.026651588258932615
46,1.84,-0.10966319572358574,-0.15852492549060582,-0.5777664135741748,5.594262883601159e-06
47,1.88,-0.06614970187462035,-0.21029550820698473,-0.6091934308771512,-0.03701003422077381
48,1.92,-0.03705227408858017,-0.25532108058896913,-0.6305082923881059,-0.07347508811902241
49,1.96,-0.01959281630125613,-0.2850574089857503,-0.6431045734567858,-0.10103589082494545
50,2.0,-0.010983221291453545,-0.2945941744944708,-0.6485670491996862,-0.11420623260872882
51,2.04,-0.008425370680982992,-0.28232259202372445,-0.6486032632458465,-0.1100386623479511
52,2.08,-0.25366367784104493,-0.2496679351811963,-0.644988034582527,-0.08810403931535643
53,2.12,-0.3737975616987694,-0.20069439407207232,-0.6395134846752714,-0.050446810401178974
54,2.16,-0.3337529337461946,-0.1412176575240928,-0.6339383045781315,-0.0010086194300258848
55,2.2,-0.318736198263979,-0.07754741314618137,-0.629932594908148,0.0554067911540956
56,2.24,-0.3737975616987694,-0.015238980797338653,-0.6290180048320563,0.11423224356015116
57,2.28,-0.5339760735090686,0.04197935824983781,-0.6325064456329156,0.17211768872388433
58,2.32,-0.5690151229675716,0.09249510765890187,-0.6414432224821487,0.22727884789013342
59,2.36,-0.4739091315802064,0.1357950734676115,-0.6565611964164743,0.27869128683557864
60,2.4,-0.418847768145416,0.16788253477597825,-0.6782515743936809,0.32164474168288665
61,2.44,-0.2686804133232605,0.1760716404118829,-0.7065545914805261,0.3425919574351434
62,2.48,-0.06345169506631455,0.1457943560278835,-0.7411699101801024,0.32609443342038613
63,2.52,0.04667103180326619,0.07334744018169942,-0.7814806323205523,0.2676949766367511
64,2.56,0.18682722963727805,-0.03137093863654467,-0.8265754640697133,0.1767222626206843
65,2.6,0.11174355222620026,-0.14994770053963774,-0.8752483056057121,0.07126074832633573
66,2.64,-0.10349632301888936,-0.2622897600420001,-0.9259668629137593,-0.028698581905517134
67,2.68,-0.15855768645367974,-0.3523631714906963,-0.9768320585157529,-0.10712949691095063
68,2.72,-0.4038310326632005,-0.4111179664021986,-1.025577433979624,-0.1550185301390652
69,2.76,-0.6140653294142182,-0.4359780109880135,-1.0696592615799023,-0.16992060613097554
70,2.8,-0.6991601638134397,-0.42871846891489546,-1.10645927783113,-0.15384618043749967
71,2.84,-0.8993833035763138,-0.393798681803946,-1.1335788308531272,-0.11162004469458639
72,2.88,-0.9994948734577509,-0.33984686812122866,-1.1491670063769337,-0.05229042795194648
73,2.92,-1.0695729723747567,-0.28225199262758033,-1.1522086605607373,0.008483091901538462
74,2.96,-1.0545562368925412,-0.2380069096098638,-1.1427044178666772,0.053600385872580564
75,3.0,-1.0095060304458945,-0.21607859436636562,-1.1217015102537569,0.07402582115840807
76,3.04,-0.959450245505176,-0.2139866664792972,-1.0911743381270929,0.07221056499500028
