,parameterName,value
0,r,0.503579794891408
1,rmse,0.9964137746022905
2,rf_lum_param1,13.194346817522113
3,rf_lum_param2,0.7659288381556273
4,rf_contrast_param1,5.0375261937945375
5,rf_contrast_param2,0.418698206188018
6,amplitudeWeightContrast,1.9819517964976034
7,weight1,0.9300454196676755
8,weight2,1.329039067421685
9,weight3,1.0995238504572056
10,weight4,0.016288859943195413
11,weight5,0.10883552374068797
12,weight6,0.6260691842234793
13,weight7,0.6818686479123313
14,weight8,0.14418536332782106
15,weight9,1.3587642053656293
16,weight10,1.9349506681681046
17,weight11,0.5354917186762034
18,weight12,0.5306043001839917
19,weight13,0.8573382632816446
20,weight14,1.2178340827887428
21,weight15,0.08066157157402326
22,weight16,0.20387612775767172
23,weight17,1.964570511006169
24,weight18,0.03006021932988276
25,weight19,0.18233299692766858
26,weight20,0.017610618250431618
27,weight21,0.36059501464790533
28,weight22,1.6065663901202205
29,weight23,1.9448506464105053
30,weight24,0.1434084065310557
31,weight25,0.025188638955983014
32,weight26,0.010998727119691576
33,weight27,1.744197819729635
34,weight28,1.1548514113593917
35,weight29,0.017284761809758895
36,weight30,0.5772221136481941
37,weight31,0.3704065070998088
38,weight32,0.3487791283203494
39,weight33,0.6638975837512358
40,weight34,0.9811625874994423
41,weight35,0.7805707723204449
42,weight36,1.1940428259694809
43,weight37,0.6450217335433088
44,weight38,0.022736921793545986
45,weight39,1.2929233437276464
46,weight40,1.8611390494172233
47,weight41,1.1436377389178563
48,weight42,1.853511377755352
49,weight43,0.8295107063902851
50,weight44,0.1260090696382457
