0.0,,,
0.003333,,,
0.006667,,,
0.01,950.5575,376.10654,5.8273673
0.013333,950.2519,376.3229,5.8277597
0.016668,950.91327,377.79987,5.8279777
0.020001,951.30426,377.85837,5.8280444
0.023334,950.51825,376.08417,5.8291345
0.026668,950.46124,375.83588,5.829591
0.030001,950.9144,375.86136,5.829739
0.033334,952.2815,379.5432,5.830018
0.036668,950.83276,377.7065,5.8297644
0.040001,950.4763,377.20847,5.8302774
0.043334,950.65155,375.65396,5.8311725
0.046669,950.63654,375.6702,5.831121
0.050001998,950.59186,375.71878,5.8309665
0.053335,950.5177,375.79932,5.8307104
0.056669,950.41437,375.91162,5.8303537
0.060002,950.28217,376.05536,5.8298965
0.063335,950.1214,376.23026,5.8293405
0.066669,949.9323,376.43607,5.8286858
0.070002,949.71515,376.6724,5.8279333
0.073335,949.4703,376.93906,5.8270845
0.07667,949.1978,377.23593,5.8261395
0.080003,948.8983,377.56235,5.8251
0.083335996,948.57196,377.91824,5.823966
0.08667,948.2189,378.3034,5.822738
0.090003,947.8396,378.71738,5.821419
0.093336,947.43427,379.15994,5.8200073
0.09667,947.00305,379.63095,5.818505
0.100003,946.5466,380.12988,5.8169127
0.103336,946.0648,380.65652,5.8152313
0.10667,945.55804,381.21082,5.8134613
0.110003,945.0269,381.79218,5.8116045
0.113336,944.4713,382.4004,5.809661
0.11667,943.8916,383.03543,5.8076315
0.120003,943.28827,383.69662,5.805517
0.123337,942.66125,384.3841,5.8033185
0.126671,942.01105,385.09732,5.8010364
0.130004,941.33813,385.83585,5.7986727
0.133337,940.6426,386.59952,5.7962275
0.136671,939.92456,387.38837,5.7937007
0.140004,939.18463,388.20163,5.7910953
0.14333701,938.423,389.03925,5.7884107
0.14667101,937.6396,389.90118,5.785647
0.150004,936.83527,390.78662,5.7828064
0.153337,936.01,391.69562,5.77989
0.156671,935.1639,392.62805,5.776897
0.160004,934.2976,393.58316,5.77383
0.163337,933.4113,394.5609,5.770689
0.16667101,932.505,395.56134,5.767474
0.17000501,931.57916,396.58383,5.764187
0.173338,930.63446,397.62784,5.760829
0.176672,929.6705,398.6937,5.7574
0.180005,928.6882,399.78046,5.753902
0.183338,927.6875,400.88815,5.750335
0.186672,926.66846,402.01685,5.7466993
0.190005,925.63196,403.1656,5.742997
0.19333799,924.57794,404.3344,5.7392287
0.19667199,923.5064,405.52344,5.735394
0.20000501,922.4183,406.7316,5.7314954
0.203338,921.3135,407.95905,5.7275333
0.206672,920.192,409.20578,5.723507
0.210005,919.05475,410.47086,5.7194195
0.213338,917.90173,411.7543,5.7152705
0.216673,916.73254,413.05667,5.711059
0.220006,915.5488,414.37607,5.7067904
0.223339,914.35016,415.713,5.702463
0.226673,913.1365,417.06763,5.6980762
0.230006,911.9087,418.4388,5.693634
0.23333901,910.66693,419.82666,5.6891356
0.236673,909.411,421.23135,5.68458
0.240006,908.1419,422.65176,5.6799717
0.243339,906.8596,424.088,5.675309
0.246673,905.5639,425.54025,5.670593
0.250006,904.256,427.0073,5.665826
0.253339,902.93567,428.48938,5.661008
0.256673,901.60284,429.9866,5.656138
0.260006,900.25867,431.4978,5.65122
0.26334,898.9026,433.02356,5.6462517
0.266674,897.53516,434.56323,5.641236
0.27000698,896.1572,436.116,5.6361747
0.27334,894.7687,437.68204,5.6310673
0.276674,893.36926,439.26157,5.625913
0.28000697,891.9602,440.85336,5.620716
0.28334,890.54126,442.45755,5.615475
0.28667402,889.1124,444.07443,5.6101904
0.290007,887.67474,445.70267,5.604865
0.29334,886.22815,447.34247,5.5994987
0.296674,884.7724,448.99414,5.594091
0.300007,883.30865,450.65625,5.588645
0.30334,881.8369,452.32913,5.583161
0.306674,880.3568,454.01297,5.577637
0.31000698,878.8696,455.70645,5.572078
0.313341,877.37476,457.4104,5.566482
0.31667498,875.8729,459.12387,5.56085
0.320008,874.3648,460.84616,5.5551863
0.32334203,872.84985,462.57803,5.5494866
0.32667598,871.32886,464.31863,5.5437546
0.330009,869.80237,466.0672,5.537993
0.33334202,868.2704,467.82394,5.5322
0.336676,866.7327,469.5891,5.5263753
0.340009,865.1904,471.36136,5.520523
0.343342,863.64355,473.14096,5.5146422
0.346676,862.09174,474.92813,5.5087323
0.350009,860.5363,476.72153,5.5027976
0.353342,858.977,478.5214,5.496837
0.35667598,857.4137,480.32797,5.4908495
0.360009,855.84753,482.13998,5.4848394
