,Actual pupil,Predicted pupil,residue
0,,4.351400088299035,
1,,4.341563090097591,
2,4.384793,4.331493336732691,0.053299663267309505
3,4.3984714,4.321220286215638,0.07725111378436189
4,4.4148474,4.310775993081548,0.10407140691845207
5,4.4275556,4.300193843215703,0.12736175678429706
6,4.4462028,4.289507736857461,0.15669506314253923
7,4.449101,4.278751933900506,0.17034906609949374
8,4.4521365,4.267960472145204,0.1841760278547957
9,4.454127,4.257166503494126,0.19696049650587355
10,4.4307566,4.246401771685688,0.18435482831431127
11,4.3714285,4.235696037276366,0.13573246272363448
12,4.3171725,4.22507656424261,0.09209593575739028
13,4.2574573,4.214567558045701,0.04288974195429862
14,4.201133,4.204189414959029,-0.003056414959029752
15,4.143183,4.193958359635284,-0.05077535963528401
16,4.084066,4.183886660023365,-0.0998206600233651
17,4.02427,4.173982805409916,-0.1497128054099166
18,3.9699783,4.164251652186623,-0.1942733521866229
19,3.919584,4.154694831028325,-0.23511083102832542
20,3.8757248,4.1453112498110345,-0.2695864498110345
21,3.8433347,4.136097494396417,-0.2927627943964164
22,3.825932,4.127048152462923,-0.30111615246292267
23,3.8181164,4.118156018455425,-0.3000396184554246
24,3.8219159,4.109412188136412,-0.28749628813641204
25,3.835834,4.100806218809403,-0.2649722188094028
26,3.856759,4.09232644797495,-0.23556744797495055
27,3.860674,4.08396033870728,-0.22328633870728032
28,3.8670886,4.075694800107933,-0.20860620010793296
29,3.8776104,4.06751655979964,-0.18990615979963987
30,3.891879,4.059412522319717,-0.1675335223197174
31,3.9095352,4.051369755308887,-0.14183455530888667
32,3.9302182,4.043375210423368,-0.11315701042336768
33,3.9535682,4.035415770250838,-0.08184757025083789
34,3.9792254,4.027478737330834,-0.048253337330834256
35,4.0068293,4.019552420800251,-0.012723120800250953
36,4.0360208,4.011626565678306,0.02439423432169452
37,4.0664387,4.0036926342485515,0.06274606575144848
38,4.0977244,3.9957440507502637,0.10198034924973598
39,4.129248,3.987776715626416,0.14147128437358347
40,4.151679,3.984187730355321,0.16749126964467864
41,4.1687512,3.9835861456736597,0.18516505432634034
42,4.17482,3.9815092410095123,0.1933107589904881
43,4.1646314,3.9793914459511264,0.18523995404887383
44,4.1410327,3.977584918696368,0.16344778130363213
45,4.113401,3.9762810677609006,0.13711993223909902
46,4.0853095,3.9746049300517585,0.11070456994824163
47,4.067787,3.9735910502497673,0.09419594975023271
48,4.0619726,3.973125767176854,0.08884683282314576
49,4.0629053,3.97250612680436,0.09039917319563973
50,4.0685043,3.970208923158451,0.09829537684154888
51,4.074464,3.965963220294118,0.1085007797058819
52,4.08102,3.961026305568445,0.1199936944315545
53,4.088715,3.956169956563357,0.13254504343664264
54,4.0885625,3.9514407540693384,0.13712174593066173
55,4.085899,3.9468516807143046,0.1390473192856958
56,4.0814495,3.9424687466062407,0.13898075339375904
57,4.0752954,3.938317416258928,0.13697798374107206
58,4.0675173,3.934558117995401,0.13295918200459855
59,4.058197,3.93119419162684,0.12700280837316003
60,4.047414,3.928095319345287,0.11931868065471285
61,4.03525,3.9252239009167216,0.11002609908327798
62,4.0217867,3.922473894619361,0.09931280538063891
63,4.0071034,3.9198159061999736,0.08728749380002654
64,3.9912825,3.9171749415891184,0.07410755841088168
65,3.9744039,3.914491540021631,0.05991235997836908
66,3.9565103,3.911822831765469,0.04468746823453129
67,3.9361966,3.9092604385828817,0.02693616141711841
68,3.9152997,3.9068661206327047,0.008433579367295163
69,3.889486,3.9046377341712986,-0.015151734171298337
70,3.862902,3.902560763857509,-0.039658763857508994
71,3.8312716,3.900736353259182,-0.06946475325918211
72,3.7895617,3.8991758148326667,-0.10961411483266659
