,parameterName,value
0,r,0.6300748182070911
1,rmse,0.4301702958753362
2,rf_lum_param1,3.8253276593491607
3,rf_lum_param2,1.8522508488757359
4,rf_contrast_param1,3.4539891209244766
5,rf_contrast_param2,1.4174431220352652
6,amplitudeWeightContrast,0.15079305405876442
7,weight1,0.04940782925528458
8,weight2,0.17284850007948066
9,weight3,0.006336054268624013
10,weight4,0.6579063748841141
11,weight5,0.1145053224035662
12,weight6,0.7551866157575535
13,weight7,0.4165837214769824
14,weight8,0.22336349938746525
15,weight9,0.3911368974534172
16,weight10,0.17650644838739418
17,weight11,0.6345589648020638
18,weight12,0.09912533182416927
19,weight13,0.5180902115284369
20,weight14,1e-07
21,weight15,0.15001718154758992
22,weight16,0.20343281326686635
23,weight17,0.23219505522053407
24,weight18,0.6084216845195356
25,weight19,4.811885837914907
26,weight20,0.7374810916034651
27,weight21,0.3660828623499851
28,weight22,0.029668111882724883
29,weight23,1.963996596265111
30,weight24,0.5210104800391118
31,weight25,1.2378817847744699
32,weight26,0.03391308890120716
33,weight27,0.6556954889178295
34,weight28,0.029529890048206386
35,weight29,0.08363929824730766
36,weight30,0.5406206388803113
37,weight31,2.280262488567993
38,weight32,0.5605539255040008
39,weight33,1.4886023898767973
40,weight34,2.1216777897756227
41,weight35,0.49452984010542617
42,weight36,1.4382349578349385
43,weight37,2.2216299627524148
44,weight38,2.8801137794230085
45,weight39,1.4207898362219042
46,weight40,0.41613932578748203
47,weight41,3.8420526403886113
48,weight42,3.2515798995074636
49,weight43,0.01584310429338387
50,weight44,1.9265145777061923
