,parameterName,value
0,r,0.46912427978877663
1,rmse,0.3959795515588873
2,rf_lum_param1,9.874960788734072
3,rf_lum_param2,1.9882123488613832
4,rf_contrast_param1,12.632727522544798
5,rf_contrast_param2,1.9869579887682516
6,amplitudeWeightContrast,0.8195880326071459
7,weight1,1.1958492870734982
8,weight2,0.05940818752730376
9,weight3,2.0205823451189424
10,weight4,0.10019843052377914
11,weight5,0.1400987633878279
12,weight6,0.1952255793525609
13,weight7,0.6624750781685818
14,weight8,0.13871490345917148
15,weight9,0.04002936725487449
16,weight10,0.031009146099337498
17,weight11,0.02398430613674425
18,weight12,0.12708540277924307
19,weight13,0.04080348023862748
20,weight14,0.026496585450536195
21,weight15,0.0139444999679611
22,weight16,0.7287252847084214
23,weight17,0.04183281726944618
24,weight18,0.8961378601016379
25,weight19,0.17662122726621743
26,weight20,0.14232253526467087
27,weight21,0.03146571741369256
28,weight22,0.4183603357698171
29,weight23,0.02331595159854956
30,weight24,0.052515227721000785
31,weight25,0.0030744892650894917
32,weight26,0.13055645677461353
33,weight27,0.021228025193242225
34,weight28,0.029064395218478617
35,weight29,0.5537660471499968
36,weight30,0.10791272247136957
37,weight31,0.09877967421111766
38,weight32,0.6974185523621623
39,weight33,1.0852636354714358
40,weight34,0.03881444202073461
41,weight35,0.10454092472164844
42,weight36,0.004018889277839693
43,weight37,0.5017130789769515
44,weight38,0.11733325489763535
45,weight39,0.16847466785530096
46,weight40,0.323110030485638
47,weight41,0.6300178649008112
48,weight42,0.43774468526551125
49,weight43,0.8229687728904731
50,weight44,0.08266461231973982
