,parameterName,value
0,r,0.5046447689046648
1,rmse,0.4766779675262911
2,rf_lum_param1,3.106360178770217
3,rf_lum_param2,1.9832462281802252
4,rf_contrast_param1,7.086929192333404
5,rf_contrast_param2,1.1706266898807045
6,amplitudeWeightContrast,0.19853886888562822
7,weight1,0.23687199991195013
8,weight2,0.06338288234775719
9,weight3,0.18607069928542375
10,weight4,0.9248492236370112
11,weight5,0.477094894888223
12,weight6,0.4845621240112581
13,weight7,0.5992843082366899
14,weight8,0.27500891506674807
15,weight9,0.035315217948077265
16,weight10,0.5599202909503345
17,weight11,0.4049504339616614
18,weight12,0.018290635441624174
19,weight13,0.2585349036108586
20,weight14,0.271476379035013
21,weight15,0.22479255835884326
22,weight16,0.09519167473795903
23,weight17,0.029622464173718006
24,weight18,1.8996827288335032
25,weight19,0.3418437826921116
26,weight20,0.8990476678894961
27,weight21,0.16140390252619502
28,weight22,0.02525358370883904
29,weight23,0.4181237249655452
30,weight24,0.4081554335985066
31,weight25,0.008941899300246262
32,weight26,0.18053620964234418
33,weight27,0.10429129677606608
34,weight28,0.08813853137215488
35,weight29,1.5975959527557837
36,weight30,0.08710089367309559
37,weight31,0.38638537629227654
38,weight32,1.0129708741379586
39,weight33,0.025159716504257412
40,weight34,0.6471533462442325
41,weight35,2.127993358965133
42,weight36,4.92404190395729
43,weight37,0.29281723190264886
44,weight38,0.20586103148404733
45,weight39,0.6735235853138462
46,weight40,0.41356524635242786
47,weight41,0.13420970244783437
48,weight42,0.17417634156761974
49,weight43,0.21942162292007683
50,weight44,0.656330117920777
