,0,1,2,3
0,0.0,459.0,481.0,6371.0
1,2.0,459.0,482.0,6371.0
2,4.0,459.0,483.0,6371.0
3,6.0,459.0,483.0,6371.0
4,8.0,459.0,483.0,6370.0
5,10.0,459.0,483.0,6370.0
6,12.0,459.0,483.0,6370.0
7,14.0,459.0,482.0,6370.0
8,16.0,459.0,482.0,6370.0
9,18.0,459.0,482.0,6370.0
10,20.0,459.0,482.0,6371.0
11,22.0,459.0,482.0,6372.0
12,24.0,459.0,481.0,6373.0
13,26.0,459.0,480.0,6375.0
14,28.0,459.0,480.0,6375.0
15,30.0,460.0,481.0,6376.0
16,32.0,460.0,481.0,6377.0
17,34.0,460.0,481.0,6379.0
18,36.0,460.0,481.0,6380.0
19,38.0,460.0,481.0,6379.0
20,40.0,460.0,481.0,6378.0
21,42.0,460.0,481.0,6379.0
22,44.0,460.0,480.0,6381.0
23,46.0,460.0,480.0,6383.0
24,48.0,460.0,481.0,6383.0
25,50.0,460.0,482.0,6382.0
26,52.0,460.0,482.0,6382.0
27,54.0,460.0,482.0,6381.0
28,56.0,460.0,482.0,6381.0
29,58.0,460.0,481.0,6382.0
30,60.0,460.0,480.0,6382.0
31,62.0,460.0,480.0,6383.0
32,64.0,460.0,480.0,6381.0
33,66.0,460.0,480.0,6381.0
34,68.0,460.0,480.0,6380.0
35,70.0,460.0,480.0,6383.0
36,72.0,460.0,479.0,6386.0
37,74.0,460.0,479.0,6390.0
38,76.0,461.0,478.0,6389.0
39,78.0,461.0,478.0,6389.0
40,80.0,460.0,478.0,6389.0
41,82.0,460.0,478.0,6389.0
42,84.0,460.0,479.0,6388.0
43,86.0,460.0,478.0,6388.0
44,88.0,460.0,478.0,6388.0
45,90.0,460.0,477.0,6389.0
46,92.0,460.0,477.0,6390.0
47,94.0,460.0,477.0,6391.0
48,96.0,460.0,477.0,6391.0
49,98.0,460.0,477.0,6390.0
50,100.0,461.0,477.0,6389.0
51,102.0,461.0,476.0,6389.0
52,104.0,461.0,477.0,6389.0
53,106.0,461.0,477.0,6388.0
54,108.0,460.0,477.0,6387.0
55,110.0,460.0,477.0,6387.0
56,112.0,460.0,477.0,6388.0
57,114.0,461.0,477.0,6390.0
58,116.0,461.0,477.0,6392.0
59,118.0,461.0,477.0,6392.0
60,120.0,461.0,477.0,6394.0
61,122.0,461.0,477.0,6395.0
62,124.0,461.0,476.0,6395.0
