,parameterName,value
0,r,0.4113705160231133
1,rmse,0.9277063476317257
2,rf_lum_param1,22.39087578701762
3,rf_lum_param2,0.01946368628263049
4,rf_contrast_param1,5.163441738497552
5,rf_contrast_param2,1.239743386114056
6,amplitudeWeightContrast,1.9154987197135047
7,weight1,0.017196396494728095
8,weight2,0.006413150856342961
9,weight3,0.0
10,weight4,0.008301942578701664
11,weight5,0.011226256166805355
12,weight6,0.014508706517792246
13,weight7,0.009779612375945417
14,weight8,0.0060938807602311735
15,weight9,0.0
16,weight10,0.009249631191438921
17,weight11,0.011976204032296807
18,weight12,0.009369099109195962
19,weight13,0.0
20,weight14,0.0160064332907397
21,weight15,0.009023705095390397
22,weight16,0.0033959724460987167
23,weight17,0.0017009328840424803
24,weight18,0.005997111698729751
25,weight19,0.0029384324129760895
26,weight20,0.0
27,weight21,0.0
28,weight22,0.000773922342309601
29,weight23,0.01814277508537772
30,weight24,0.015063313553278751
31,weight25,0.015290200369008598
32,weight26,0.015635325363659126
33,weight27,0.005553362869461453
34,weight28,0.005466849435221242
35,weight29,0.0
36,weight30,0.0
37,weight31,0.0
38,weight32,0.0
39,weight33,0.0
40,weight34,0.0
41,weight35,0.023540388456549956
42,weight36,0.020768327704126118
43,weight37,0.03131388605098195
44,weight38,0.026630170887696234
45,weight39,0.005072270680308447
46,weight40,0.0002654120319527192
47,weight41,0.0
48,weight42,0.0
49,weight43,0.0
50,weight44,0.0
